Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Coding_Helper,code_clone,BoxAndWhiskerChart,display,Long Statement,"The length of the statement ""boxData.add(getInputData(CosineSimilarity.similarArray.get(i))`""First_Project vs Second_Project""`CloneCheck.ProjectFileName1.get(i));"" is 133.",37
Coding_Helper,code_clone,BoxAndWhiskerChart,display,Magic Number,The method contains a magic number: 20,37
Coding_Helper,code_clone,BoxAndWhiskerChart,display,Magic Number,The method contains a magic number: 600,37
Coding_Helper,code_clone,BoxAndWhiskerChart,display,Magic Number,The method contains a magic number: 600,37
Coding_Helper,code_clone,BoxAndWhiskerChart,getPreferredSize,Magic Number,The method contains a magic number: 600,67
Coding_Helper,code_clone,BoxAndWhiskerChart,getPreferredSize,Magic Number,The method contains a magic number: 600,67
Coding_Helper,code_clone,CosineSimilarity,getCosinesimilarity,Long Statement,"The length of the statement ""System.out.println(CloneCheck.ProjectFileName1.get(i) + "" vs "" + CloneCheck.ProjectFileName2.get(j)+ "" ""+ getSimilar+ ""%"");"" is 123.",12
Coding_Helper,code_clone,CosineSimilarity,getCosinesimilarity,Magic Number,The method contains a magic number: 2,12
Coding_Helper,code_clone,CosineSimilarity,cosineSimilarity,Magic Number,The method contains a magic number: 2,36
Coding_Helper,code_clone,CosineSimilarity,cosineSimilarity,Magic Number,The method contains a magic number: 2,36
Coding_Helper,code_clone,CosineSimilarity,cosineSimilarity,Magic Number,The method contains a magic number: 100,36
Coding_Helper,code_clone,Porter_stemmer,stemWord,Magic Number,The method contains a magic number: 3,8
Coding_Helper,code_clone,Porter_stemmer,stemStep1a,Magic Number,The method contains a magic number: 2,22
Coding_Helper,code_clone,Porter_stemmer,stemStep1a,Magic Number,The method contains a magic number: 2,22
Coding_Helper,code_clone,Porter_stemmer,stemStep1b,Magic Number,The method contains a magic number: 2,42
Coding_Helper,code_clone,Porter_stemmer,stemStep1b,Magic Number,The method contains a magic number: 3,42
Coding_Helper,code_clone,Porter_stemmer,step1b2,Complex Conditional,The conditional expression lastDoubleConsonant != 0 && lastDoubleConsonant != 'l' && lastDoubleConsonant != 's' && lastDoubleConsonant != 'z' is complex.,72
